檔名,緯度,經度,方位角,Roll,Pitch,altitude
342.jpg,23.8523445,120.9241055,303.53,-0.25,3.09,300.21
343.jpg,23.8525305,120.9237769,273.45,-2.62,3.95,299.94
344.jpg,23.8525493,120.9235097,265.5,-1.67,2.83,300.2
345.jpg,23.8525257,120.9232602,263.32,-1.39,2.17,299.92
346.jpg,23.8524762,120.9230128,261.6,-0.03,4.19,299.38
347.jpg,23.8524195,120.9227481,260.94,1.06,3.63,299.52
348.jpg,23.8523423,120.9224477,260.99,1.44,2.43,300.25
349.jpg,23.8522812,120.9221604,266.79,1.4,5.98,299.99
350.jpg,23.8522292,120.9218582,265.7,2.12,5.51,299.3
351.jpg,23.8521798,120.9215500,267.39,1.17,4.14,300.39
352.jpg,23.8521354,120.9212756,265.78,0.73,4.62,299.97
353.jpg,23.8520906,120.9210029,268.1,1.67,2.82,300.35
354.jpg,23.8520448,120.9206902,265.28,1.53,6.44,299.39
355.jpg,23.8520107,120.9204403,265.51,0.9,5.44,299.01
356.jpg,23.8519653,120.9201544,259.85,2.06,6.98,298.83
357.jpg,23.8519246,120.9199006,258.31,0.02,4.75,300.27
358.jpg,23.8518887,120.9196447,258.64,1.39,2.12,301.84
359.jpg,23.8518381,120.9193947,264.46,0.2,3.02,300.49
360.jpg,23.8517724,120.9191057,261.86,2.8,3.46,300.39
361.jpg,23.8517107,120.9188234,264.21,3.62,2.51,301.68
362.jpg,23.8516720,120.9185858,266.03,2.25,2.73,300.48
363.jpg,23.8516461,120.9183404,269.03,0.49,2.79,299.96
364.jpg,23.8516187,120.9180952,260.79,0.93,2.27,300.62
365.jpg,23.8515768,120.9178372,261.14,1.53,2.34,301.52
366.jpg,23.8515301,120.9175832,263.27,0.45,0.06,302.29
367.jpg,23.8514577,120.9172596,268.71,1.19,1.02,301.99
368.jpg,23.8513958,120.9169303,274.34,1.13,-2.87,301.55
369.jpg,23.8513453,120.9165800,272.65,1.33,2.2,299.05
370.jpg,23.8512990,120.9162873,270.87,1.06,1.89,299.61
371.jpg,23.8512529,120.9160002,266.64,-0.65,1.93,298.62
